shortname;fullname;category
BD;Bases de données ;29
LPIC2;Préparation à la Certification Linux Niveau 2 – LPIC-2;29
ASR;Administration des services réseaux;29
IPDL;Ingénierie des processus de développement logiciel ;30
CPA;Conduite de projet AGILE;30
CQMP;Contrôle, qualité et maintenance logiciels;30
Py-IA;Python pour Big-data et IA;31
DSBAP;Data Science 1:Big data et analyse multidimensionnelle;31
DS2ML;Data science 2:Machine learning 1;31
FEC;Fonctionnement des entreprises et communication;32
A-TOEIC;Anglais1 (preparation a la certification TOEIC);32
MP;Management de projet;32
POO;Programmation orientée objet (POO);33
UML;Conception orientée objet  UML;33
BD;Bases de données ;8
LPIC-2;Préparation à la Certification Linux Niveau 2 – LPIC-2;8
POO;Programmation orientée objet (POO);8
IRC;Ingénierie des réseaux câblés;9
RWL;Radiocoms & Wireless LAN     ;9
SR;Sécurité des réseaux  ;9
ASR;Administration des services réseaux;10
TOIP;Téléphonie sur IP et IMS;10
SVA;Services à Valeur Ajoutée;10
FEC;Fonctionnement des entreprises et communication;11
Anglais;Anglais1 (preparation a la certification TOEIC);11
IF; Ingénierie de formation;11
PT;Projet tutoré;12
PPP;Projet Personnel et Professionnel;12
